'most, powerful, nation, on, earth', 9.919615164627299
'of, a, europe, that, is', 9.919615164627299
'we, live, in, a, time', 9.919615164627299
'million, people, out, of, work', 9.919615164627299
'this, country, for, the, better', 9.919615164627299
'at, a, time, when, they', 9.919615164627299
'wanted, to, make, sure, that', 9.919615164627299
'faith, in, the, american, people', 9.919615164627299
'who, you, are, no, matter', 9.919615164627299
'is, up, to, us, to', 9.919615164627299
'on, the, other, hand, if', 9.919615164627299
'but, in, order, to, do', 9.919615164627299
'i, thank, you, for, your', 9.919615164627299
'working, for, the, american, people', 9.919615164627299
'seat, thank, you, very, much', 9.919615164627299
'when, i, first, came, into', 9.919615164627299
'and, what, the, american, people', 9.919615164627299
'and, let, me, be, clear', 9.919615164627299
'on, whether, or, not, we', 9.919615164627299
'because, i, want, to, make', 9.919615164627299
'i, just, want, to, mention', 9.919615164627299
'for, the, american, people, to', 9.919615164627299
'the, future, that, you, want', 9.919615164627299
'the, kinds, of, things, that', 9.919615164627299
'to, move, this, country, forward', 9.919615164627299
'workers, for, the, jobs, of', 9.919615164627299
'i, think, its, time, for', 9.919615164627299
'and, the, united, states, has', 9.919615164627299
'president, of, a, country, that', 9.919615164627299
'children, and, our, grandchildren, and', 9.919615164627299
'10, years, from, now, or', 9.919615164627299
'world, has, ever, known, but', 9.919615164627299
'i, want, them, to, know', 9.919615164627299
'have, a, choice, to, make', 9.919615164627299
'stand, up, for, our, values', 9.919615164627299
'of, the, community, of, nations', 9.919615164627299
'going, to, have, to, ask', 9.919615164627299
'all, of, you, for, being', 9.919615164627299
'as, a, result, of, this', 9.919615164627299
'these, are, life, liberty, and', 9.919615164627299
'going, to, solve, this, problem', 9.919615164627299
'i, know, there, are, some', 9.919615164627299
'in, the, face, of, such', 9.919615164627299
'why, its, so, important, that', 9.919615164627299
'done, lets, get, it, done', 9.919615164627299
'is, the, best, way, to', 9.919615164627299
'the, surface, of, the, moon', 9.919615164627299
'matter, who, you, are, no', 9.919615164627299
'thank, you, please, be, seated', 9.919615164627299
'we, know, that, this, is', 9.919615164627299
'some, of, the, problems, that', 9.919615164627299
